source_name,source_job_id,job_fingerprint,title,company_name,location_city,location_country,posting_date,source_url
careerjet,,b81ec0daec0f99021375e338f5b98c4c29856049105a3f7e0cf757d82274ece8,"E Comm Key Account Manager, Quick Commerce",Reckitt Benckiser,Jeddah,Makkah,,https://jobviewtrack.com/v2/IgadU34RyQ-1OhFmH2bYaE2vfo3RtlQ8N_kGSvUYNlwbJa4b9s9FTDg3can2xY5pOH0yM-P1AP2o8oAy7CCc6V36HS7GCu1rCmHHIXG3INhbF1F6ftxUu6NUoO9qGAqT0MSGNRGNx5xKT-Bh77p4FfCB338tVdByZoWpsUVRrMjDWffAvD2X7a2tkVKWrg2MsfzM23oqTShjYIvkahfqXQ
careerjet,,9e970d82942726246aa2166b5f0d5e86223f3cca5fb2e6678e2463d6d0c3d4db,Oracle Apps Developer,Nexttec Technology Outsourcing,Riyadh,,,https://jobviewtrack.com/v2/dWayPxYVmNKIPeYhcMrE8xX8kwgvYS6ukY-Q2CC9RoBn7qMaiN4i6XC5I6_cBsLncsPMxKItz2-K3t30ADGzH8p23gu5IQkt3_9tl29RJInKOUqO_5kPBvxKhc4wwnortMCoWTbvfVS5ed2ANsgN7oMKoV0HzyzhVOmc-h1ClROH_an-YMJDxjWfA-WsDn7fa0em_OS4Q17AA6HTopQVQg
careerjet,,9c8ca1a1a529de2ae94da204b11367aa4e5696ee5f5e0bf82bb322f8dbbd8761,Store Manager - Mamas & Papas - Riyadh,Al Tayer Group,Riyadh,,,https://jobviewtrack.com/v2/YYE9zQykffDWDkL0FZ_JKc_moIsmo8AyNZz8beXZqadfDkFdxIdH6dCbXMSJlA6cvQ390THAaKI-r3k0ycsgg0IK9Vrqh_KNwl2CVUusm_pIAKOAa4QkskjO2a6CsAuwokQIgiN-lIjMh86k2JeWgPrtaLEnzvCYL7AByhMbsb-vqUKHj2SIDKQFQi82r8LAfvdmijsdOmzFSNTc-E80JA
careerjet,,5d74f32c3f183d034e90cfc8d8cbf8b340f0772ffa830ec0c004297644ff3a8b,IT Support Specialist/Engineer,SGS,Jeddah,Makkah,,https://jobviewtrack.com/v2/tyozLoAdvHNxvZu2_5IdAPTcDwN1nXsDgKzV9kfTcoAdL1gBocrFv-d7kz22TIq1_dGF8PYU44g1RBP537yeZNYWXttnMypjP6BGmUG09VreLjfKkWEmSLkGKDxkjYm91LxbDFiA4o0MPPRW4OVt1n-_pMuV8Yk81n4o1xqh0kqMWsk7m4Gp3HQD2C0sjEGANXHU-sum7hjyrJbupkgDyg
careerjet,,363d00389019b568c4457e8d822b7558f27aa198980b6a29a954a818e0fd5a32,Rigless Drilling Operations Foreman (Saudi Arabia),Eram Talent,Al Jubayl,Ash Sharqiyah,,https://jobviewtrack.com/v2/t4e-IdemjB5nDS3msgU1nPOtvMd7TlEA59UmUYY_5REUxdbgMB9ZTT14xxRuYtR36gcrEKyEf6CQKgYB16sFeDD-i10PRDSDI1Wk9yxyqr9uE4GnvUXOJEhkzoeP5YHfcOiHzsy6Gu3r5MOivtnFfkAthFGljZZIY1lK9DOYqsmFvUR00ARAg4auTF4w0KavA_NEBUpRO_a33XtdTR_U8g
careerjet,,688ee6887e1b48108de77357adccd0ff7189d01608718ac2fc4a2b0b6852709e,Receptionist,Hilton,Jeddah,Makkah,,https://jobviewtrack.com/v2/txAcnk8vvzbl4IzguoJykiz5t-lLo1zowjrHn5twvlC6jsMTfPsidHrBhadaLcW0_H-gSPJThoKKe2rxYtnJRSLsiKLzljRoryWqP6pu8h96A_XZia2HzcIrS2Eak7gEWNQGhE6WdA4YGUm-V8uAIDfgqKpEO2OcCkdPLTdYCQIF-uKy_2jTrciXLg_Pt-MLDHm4JfPWFN1YveYY9Ta0oA
careerjet,,a250d9123d2bed634dda69564b662e31d8c334463e71d5215ede744aea312669,Concierge Supervisor,Rosewood Hotel Group,Saudi Arabia,,,https://jobviewtrack.com/v2/eCArqelPCAAFN29LCSKXlJa809tqDxcK6hAoSQt0xCWZmdVtubMwK7N0n9gxpyv2Mc7crHBfZyKv38aZDJMuynNjqL47Q7aDnHmxkSEt6pxhbLl9WAkkgeKFDKH2vmC7x9Cl0QSOWbcmI3GTTYmAD-OFGoFNIP3K_MRBWdWjO083x3pDufRmhOVIf0ORnto2w0HiLukFqY49NMFC_emjXg
careerjet,,813944ad79ec7245789cecbc29b64ef4bdb475da8f65086edef5a27a1890bc0d,Field Project Engineer,Alfa Laval,Al Khubar,Ash Sharqiyah,,https://jobviewtrack.com/v2/G4Ifd0nN-C_kuFeMsk3htAKEe8UqNGofv7JV_iNozri4IH9OteG2nmxYwDcq1Ohj4L2gXLLV7XG7RXsYG1BUOtoqb_rVxQXK1bduy4KXWMw35B7GM58GVSI4MGG1OxlKBhJIkBdYEQQkNuplU_ePZyNq6gKIhOJG3f82UKIWAwXuWmKKf034-nVO3A1X1O9FY64xPYHYg46w4kL4b_D_zw
careerjet,,a7030169975c4c3a2a87263f4072eca205e3140d58db8d3dc0357e2ce2e70e36,Marketing Supervisor,,Saudi Arabia,,,https://jobviewtrack.com/v2/O2ia022lqQzP_GRCqcxD3ZCVHaUIE8vmlfL6E5AWjvle0KuxN8G5M4B-URFYLXlaEg8tmDR3VC5oFfkulNzWqXfta-lTSrc3EBq-wDuT70Dck4w6cRTyZ9e5rQpGcy2rlo3_IQjaSfko03QecIxUQjxsGJb_6GXQHVMecSUpRAq8kHsUqJk-bSTI8DyrSHA0dMyjiEJMNXUpXwPCNkdGVA
careerjet,,fbb442b8dedd2af95e46c00353df7e381623961d087e59236f08a15b9890d595,Freelance Brand Designer,Mindrift,Saudi Arabia,,,https://jobviewtrack.com/v2/7xGboD2vQZVyfI2odI3RY3ZHKAwAmIEe4KMFP65G-2RvXOyLGzTSZ1eE8FyIUxDRtb681I9LBiCEWA3bHO4zr5fGfV-UKauN-PgQEG0_HphPNCh3EUR-BW43k33jbfxjJ1tzr9-U3zWeRmg8dQehZuhY--pei_-3IaG5ieogdvSNCrh1XmAfTErdDsAAgt8H6FgJ3FXdIVmrqEI7a7M8jQ
